Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
PCA077	EC_1	S_America	Peru	2016	S_tuberosum	132/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCA078	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PCO001-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO002	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCO002-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/173/0	204/209/217	0	12
PCO003	EC_1	S_America	Peru	1997	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCO003-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/134/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/173/0	204/209/217	0	12
PCO004-FTA	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO005-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/209/217	0	12
PCO006-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO007-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO008-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO009-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO010-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO011-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/272/0	331/355/0	173/175/0	204/209/217	0	12
PCO012-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/173/0	204/209/217	0	12
PCO013-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO014-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO015-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO016-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO017-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO018-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO019-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	266/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO020-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO021-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	154/160/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO022-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO023-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO024-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO025-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO026-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO027-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO028-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/140/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO029-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO030-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO031-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO032-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO034-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO036-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO037-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO038-FTA	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO039-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO041-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO042-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO091	EC_1	S_America	Peru	2000	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCO092	EC_1	S_America	Peru	2000	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/0	0	12
PCO093	EC_1	S_America	Peru	2003	S_paucissectum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCO095	EC_1	S_America	Peru	2005	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/213/217	0	12
PCO096	EC_1	S_America	Peru	2005	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/213/217	0	12
PCO097	EC_1	S_America	Peru	2005	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/213/217	0	12
PCO098	EC_1	S_America	Peru	2005	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/213/217	0	12
PCO101	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO102	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO103	EC_1	S_America	Peru	2017	S_tuberosum	134/140/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO104	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO105	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO106	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO107	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO108	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO109	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO110	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO111	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO112	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO113	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO114	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO115	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/158/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCO116	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO118	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO119	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO120	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO121	EC_1	S_America	Peru	2017	S_tuberosum	134/140/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO122	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO123	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO124	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO125	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO126	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO127	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO128	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/272/0	331/355/0	173/175/0	204/209/217	0	12
PCO129	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO130	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO131	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCO132	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/270	331/355/0	173/175/0	204/213/217	0	12
PCO133	EC_1	S_America	Peru	2017	S_candolleanum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PCZ001	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ001-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ002	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ002-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ003	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ003-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/140/0	264/266/0	286/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ004-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/140/0	264/266/0	286/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ005	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ005-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/140/0	264/266/0	286/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ006-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/140/0	264/264/0	286/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ009-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ010-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ011-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/264/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ012-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ013-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ014-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ015-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ016-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ017-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ018-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ019-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ020-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	266/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ021-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/160/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ022-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/248/0	279/279/0	160/160/0	268/270/0	331/355/0	173/175/0	204/213/217	0	12
PCZ023-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ024-FTA	EC_1	S_America	Peru	2017	S_tuberosum	132/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ025-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ026-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ027-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ028-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ029-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ030-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ032-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ033-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ034-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ036-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ041	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ111	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ118	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ119	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ155	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ156	EC_1	S_America	Peru	1997	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ170	EC_1	S_America	Peru	2013	S_tuberosum	132/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ172	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/213/0	0	12
PCZ173	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ174	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PCZ175	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
