Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
2AMP6_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/138/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
30_14T5_1	EU_8_A1	NA	NA	NA	NA	118/136/0	260/266/0	288/294/0	166/170/0	192/192/0	242/244/0	273/279/0	162/162/0	268/268/0	331/341/0	173/175/0	205/217/0	0	12
63EB	US_23	N_America	US	2014	S_lycopersicum	134/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
AB3P1_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/154	260/266/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
ABP6_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/154	260/266/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
ADP9_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/154/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Algeria_84	EU_13_A2	Africa	Algeria	2019	S_tuberosum	140/152/0	260/266/0	284/294/298	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/266/0	341/341/0	173/173/0	205/213/0	0	12
Algeria_86	EU_36_A2	Africa	Algeria	2019	S_tuberosum	136/152/154	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Algeria_87	EU_36_A2	Africa	Algeria	2019	S_tuberosum	136/152/154	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Algeria_88	EU_36_A2	Africa	Algeria	2019	S_tuberosum	136/152/154	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Algeria_89	EU_36_A2	Africa	Algeria	2019	S_tuberosum	136/152/154	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Algeria_90	EU_13_A2	Africa	Algeria	2019	S_tuberosum	136/152/0	260/266/0	284/294/298	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/266/0	341/341/0	173/173/0	205/213/0	0	12
Algeria_91	EU_13_A2	Africa	Algeria	2019	S_tuberosum	136/140/152	260/260/0	284/296/298	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
AM3_14	EU_2_A1	Africa	Algeria	2014	S_tuberosum	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
Amiga_Desiree_34_2	EU_2_A1	NA	NA	NA	NA	118/136/0	260/266/0	288/292/294	166/170/0	192/192/0	242/244/0	279/279/0	166/166/0	268/268/0	331/341/0	173/175/0	205/213/0	0	12
AN10_14	EU_23_A1	Africa	Algeria	2014	S_tuberosum	136/206/0	260/266/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
AN3_14	EU_2_A1	Africa	Algeria	2014	S_tuberosum	136/136/0	260/264/266	288/290/0	168/168/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
AN5_14	EU_2_A1	Africa	Algeria	2014	S_tuberosum	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/0	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
ANP10_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/152	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
AR2P31_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/154	260/266/0	284/294/300	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
ARH3_14	EU_13_A2	Africa	Algeria	2014	S_tuberosum	136/144/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
AU_059	EU_2_A1	Oceania	Australia	NA	NA	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/210	258/268/0	341/355/0	173/173/0	217/217/0	0	12
BL2009P4	US_23	N_America	US	2009	S_tuberosum	136/208/0	260/266/0	288/296/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/173/0	213/217/0	0	12
BT16	EU_13_A2	NA	NA	NA	NA	136/140/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
BT9	EU_23_A1	Africa	Algeria	2013	S_lycopersicum	136/210/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/272	331/341/0	173/175/0	213/217/0	0	12
BX10-36_TomA_lesion	EU_23_A1	NA	NA	NA	S_lycopersicum	136/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
C4	EU_5_A1	N_America	US	1950	S_tuberosum	136/136/0	266/266/0	292/294/0	166/170/0	192/192/0	244/244/0	279/279/0	156/162/0	268/268/0	341/355/0	175/175/0	205/217/0	0	12
C5	EU_5_A1	NA	NA	NA	NA	136/136/0	266/266/0	294/294/0	166/170/0	192/192/0	244/244/0	279/279/0	156/162/0	268/268/0	355/355/0	175/175/0	205/217/0	0	12
CHA3	EU_2_A1	Africa	Algeria	2010	S_tuberosum	136/136/0	260/266/0	288/290/292	166/170/0	192/195/0	242/244/0	270/273/0	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
Coff_P10105	US_1	NA	NA	NA	NA	138/140/0	266/266/0	288/290/300	166/170/0	189/192/0	244/262/0	270/273/279	152/156/200	266/266/0	341/355/0	173/177/0	213/217/0	0	12
DJ13	EU_2_A1	Africa	Algeria	2013	S_tuberosum	140/140/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
EGY_11_25_Men8_1	EU_23_A1	NA	NA	NA	NA	136/210/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/208	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Eucablight_2015_Bayer_15012	EU_36_A2	NA	NA	2015	NA	136/152/154	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Euroblight_1	EU_23_A1	NA	NA	NA	NA	136/212/0	260/266/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Euroblight_3	EU_23_A1	NA	NA	NA	NA	140/206/0	260/266/0	296/300/302	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Euroblight_4	EU_23_A1	NA	NA	NA	NA	136/212/0	260/266/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
FR_2012_012_001	EU_23_A1	Europe	France	NA	NA	136/210/0	260/266/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
FR_2012_012_002	EU_23_A1	Europe	France	NA	NA	136/210/0	260/266/0	288/294/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
FRANCE_052	EU_38_A2	Europe	France	NA	NA	138/138/0	266/266/0	288/306/0	166/170/0	192/192/0	242/244/0	279/279/0	142/154/0	266/268/0	331/341/0	173/175/0	213/217/0	0	12
HMP2_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/164	266/268/0	341/341/0	173/173/0	205/213/0	0	12
HMT1	EU_2_A1	NA	NA	NA	NA	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
ISO2_DA2_	EU_2_A1	Africa	Algeria	2010	S_tuberosum	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/0	258/268/0	341/355/0	173/173/0	217/217/0	0	12
Italy_1	EU_13_A2	Europe	Italy	3/28/2018	S_lycopersicum	132/136/0	260/260/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_22	EU_23_A1	Europe	Italy	5/9/2018	S_tuberosum	136/136/0	260/260/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_23	EU_23_A1	Europe	Italy	5/16/2018	S_tuberosum	136/136/0	260/260/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_24	EU_36_A2	Europe	Italy	5/30/2018	S_tuberosum	132/152/156	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
Italy_25	EU_23_A1	Europe	Italy	6/19/2018	S_lycopersicum	136/136/0	260/266/0	288/296/302	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_26	EU_23_A1	Europe	Italy	6/19/2018	S_lycopersicum	136/218/0	260/260/0	288/296/302	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_29	EU_23_A1	Europe	Italy	6/19/2018	S_tuberosum	136/206/0	260/260/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/204	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_3	EU_13_A2	Europe	Italy	3/28/2018	S_lycopersicum	132/136/0	260/260/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/266/0	341/341/0	173/173/0	205/213/0	0	12
Italy_30	EU_36_A2	Europe	Italy	6/19/2018	S_tuberosum	132/152/156	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
